City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Fortuna,ES,38.18,-1.13,69.8,77,0,3.36
Cidreira,BR,-30.17,-50.22,68.87,86,0,5.75
Utete,TZ,-7.99,38.76,62.3,93,12,2.17
Thunder Bay,CA,48.41,-89.26,42.8,75,90,16.11
Teya,MX,21.05,-89.07,75.2,94,75,4.7
Byron Bay,AU,-28.65,153.62,69.8,56,90,14.99
Jiaozuo,CN,35.21,113.25,72.2,29,20,6.98
Kiunga,PG,-6.12,141.3,80.39,79,56,2.95
Ojinaga,US,29.56,-104.41,63.47,49,0,2.28
Port Keats,AU,-14.25,129.55,93.17,46,0,7.54
Abu Samrah,SY,35.3,37.18,59.96,77,0,6.53
Tambacounda,SN,13.77,-13.67,76.43,85,36,6.42
Kavaratti,IN,10.57,72.64,83.45,99,44,5.75
Mar del Plata,AR,-46.43,-67.52,39.98,100,92,3.96
Faya,SA,18.39,42.45,65.26,42,0,2.95
Ostrovskoye,RU,57.81,42.24,45.56,95,0,7.65
Clyde River,CA,70.47,-68.59,28.4,79,90,14.99
Lima,PE,-12.06,-77.04,56.09,74,0,2.51
Santa Marinella,IT,42.04,11.87,71.6,94,20,10.29
Siguatepeque,HN,14.6,-87.84,66.89,86,36,1.95
Abalak,NE,15.46,6.28,86.69,22,36,11.12
Plettenberg Bay,ZA,-34.05,23.37,56.81,100,0,7.76
Urucara,BR,-2.54,-57.76,84.26,50,0,5.19
Vao,EE,59.1,26.19,45.2,95,0,4.29
Ayan,TR,40.67,33.6,38.63,78,0,1.72
Antalaha,MG,-14.9,50.28,68.15,97,92,8.43
Killybegs,IE,54.63,-8.45,50.6,96,92,10.56
Namatanai,PG,-3.66,152.44,82.28,100,88,8.88
Novoorsk,RU,51.38,58.98,53.6,87,75,8.95
Broken Hill,AU,-31.97,141.45,63.74,48,0,11.79
Yellowknife,CA,62.45,-114.38,41.0,86,75,4.7
Ancud,CL,-41.87,-73.83,46.55,76,88,5.41
Puerto Ayora,EC,-0.74,-90.35,69.86,100,12,9.78
Seoul,KR,37.57,126.98,70.92,28,0,11.41
Locri,IT,38.24,16.26,57.71,96,0,1.95
Daru,SL,7.99,-10.85,69.86,98,80,2.84
Kailua,US,21.39,-157.74,83.68,74,90,6.93
Viedma,AR,-40.81,-62.99,47.0,58,20,2.73
Saint-Philippe,CA,45.36,-73.48,46.85,75,90,10.29
Bluff,AU,-23.58,149.07,82.46,33,0,5.19
Belaya Gora,RU,68.54,146.19,37.55,83,68,9.22
Barrow,AR,-38.31,-60.23,47.45,55,0,8.43
Riverton,US,43.02,-108.38,63.39,35,1,17.22
Atuona,PF,-9.8,-139.03,79.4,100,56,9.44
Nuevo Progreso,US,26.05,-97.95,79.92,65,1,3.36
Come,BJ,6.41,1.88,78.8,88,40,3.36
Kulhudhuffushi,MV,6.62,73.07,80.75,100,64,6.98
Skibbereen,IE,51.55,-9.27,42.8,81,0,8.05
Misratah,LY,32.38,15.09,75.08,98,0,8.88
Tarabuco,BO,-19.18,-64.92,48.26,87,0,1.72
Dwarka,IN,28.58,77.04,77.0,94,90,9.17
Mjolby,SE,58.33,15.12,43.39,65,0,5.82
Talnakh,RU,69.49,88.39,43.31,98,88,5.19
Spirit River,CA,55.78,-118.84,48.2,49,75,14.99
Gonbad-e Qabus,IR,37.25,55.17,62.75,78,48,3.4
Pochutla,MX,15.74,-96.47,84.26,100,92,6.64
Mount Isa,AU,-20.73,139.49,87.8,15,0,11.41
Leningradskiy,RU,69.38,178.42,41.42,97,0,12.24
Erzin,TR,36.95,36.2,70.12,94,20,5.82
Constitucion,MX,23.99,-104.67,60.8,100,90,2.24
Alice Springs,AU,-23.7,133.88,80.6,10,0,17.22
Rostock,DE,54.09,12.13,50.0,71,75,12.75
Ribeira Grande,PT,38.52,-28.7,73.19,100,36,9.66
Ilo,PE,-17.65,-71.34,53.21,100,48,1.72
Amga,RU,60.89,131.98,45.92,77,0,3.74
Poum,MK,41.28,20.71,50.0,87,0,3.36
High Level,CA,58.52,-117.13,46.4,78,75,4.7
Cervo,BR,-22.19,-46.24,57.98,84,0,1.95
Kenora,CA,49.76,-94.48,40.05,87,90,10.29
Airai,TL,-8.93,125.41,86.51,38,0,2.39
Luancheng,CN,37.88,114.65,69.8,35,0,2.24
Belyy Yar,RU,53.6,91.39,50.0,87,0,2.24
Kharp,RU,66.82,65.8,45.11,88,44,2.84
Songea,TZ,-10.68,35.65,64.4,72,40,13.87
Pacific Grove,US,36.62,-121.92,61.27,52,1,4.18
Tigil,RU,57.8,158.67,52.85,64,76,13.02
Kangaatsiaq,GL,68.31,-53.46,38.09,95,48,12.8
Campbell River,CA,50.02,-125.24,54.9,93,40,2.17
Marrakesh,MA,31.63,-7.99,73.4,46,20,2.24
Merauke,ID,-8.49,140.4,86.87,62,12,14.14
Abha,SA,18.22,42.5,65.25,61,0,1.61
Half Moon Bay,US,37.46,-122.43,66.96,87,1,6.98
Tougan,BF,13.07,-3.07,75.44,81,48,1.72
Ariquemes,BR,-9.91,-63.03,76.07,89,0,2.06
Arrifes,PT,37.77,-25.7,69.8,73,20,3.36
Vanavara,RU,60.35,102.28,47.72,63,12,3.74
Meulaboh,ID,4.14,96.13,80.93,100,68,5.97
Adelaide,AU,-34.93,138.6,60.8,85,20,11.41
Sheopur,IN,25.67,76.7,75.26,100,100,12.01
Edgewood,US,39.42,-76.29,62.47,83,90,9.17
Te Anau,NZ,-45.41,167.72,37.01,100,92,5.08
Svolvaer,NO,68.23,14.57,41.0,75,75,20.8
Hecun,CN,29.94,119.31,74.63,80,48,6.64
Port Macquarie,AU,-31.43,152.91,62.6,59,90,12.75
Osoyoos,CA,49.03,-119.47,61.18,54,75,3.36
Aklavik,CA,68.22,-135.01,33.8,69,90,5.82
Yerbogachen,RU,61.28,108.01,49.07,60,0,3.74
Maun,BW,-19.99,23.42,68.0,28,0,6.93
Fairbanks,US,64.84,-147.72,50.09,92,75,5.82
Mendi,ET,9.8,35.1,59.42,87,76,3.06
Albany,US,42.65,-73.75,49.5,85,20,2.17
Iranshahr,IR,27.21,60.69,77.0,15,0,4.7
Henties Bay,NA,-22.12,14.28,55.28,100,68,2.84
Shebunino,RU,57.66,40.04,43.13,95,20,8.77
Sohag,EG,26.55,31.7,66.98,80,0,3.96
Almaznyy,RU,48.03,40.04,43.67,95,0,4.97
Kolomna,RU,55.09,38.77,41.0,93,0,8.95
Santiago,CL,-33.44,-70.65,57.2,58,0,11.41
Mezen,RU,65.85,44.24,48.53,92,80,7.87
Suhbaatar,MN,50.23,106.21,54.65,74,0,3.85
Narsaq,GL,60.91,-46.05,37.4,86,92,6.93
Portoferraio,IT,42.81,10.31,69.8,100,40,3.36
Gold Coast,AU,-28.0,153.41,69.8,56,90,14.99
Sterling,US,39.0,-77.4,61.72,96,90,5.82
Atar,MR,20.52,-13.05,79.67,30,44,5.19
Sungaipenuh,ID,-2.08,101.38,73.73,79,56,1.72
Yuncheng,CN,35.03,111.0,67.7,47,24,11.68
Salalah,OM,17.01,54.1,71.6,78,75,4.7
Yar-Sale,RU,66.83,70.83,51.41,90,64,4.07
Aykhal,RU,65.95,111.51,45.92,62,8,7.76
East London,ZA,-33.02,27.91,64.1,100,24,2.17
Latacunga,EC,-0.93,-78.61,50.0,87,20,9.17
Rantepao,ID,-2.97,119.9,80.12,64,12,3.18
Tessaoua,NE,13.76,7.99,72.83,82,0,9.78
Saskylakh,RU,71.97,114.09,40.52,100,88,5.64
Vila Franca do Campo,PT,37.72,-25.43,69.8,73,20,3.36
Bambanglipuro,ID,-7.95,110.28,88.67,46,0,6.76
Callaguip,PH,18.07,120.49,89.6,62,20,4.7
Ust-Omchug,RU,61.13,149.63,40.79,58,24,3.96
Pangnirtung,CA,66.15,-65.72,24.59,92,12,5.64
Soderhamn,SE,61.3,17.06,47.63,60,48,10.45
Chuy,UY,-33.69,-53.46,60.5,91,92,8.88
Rolla,US,37.95,-91.77,70.02,73,90,4.7
Oistins,BB,13.07,-59.53,80.6,78,20,13.87
Nantucket,US,41.28,-70.1,51.4,100,1,2.39
Mandalgovi,MN,45.76,106.27,54.2,50,12,6.42
Boa Vista,BR,2.82,-60.67,82.4,69,0,6.93
Maningrida,AU,-12.05,134.23,84.53,64,0,14.25
Havre-Saint-Pierre,CA,50.23,-63.6,35.6,59,20,11.41
Labytnangi,RU,66.66,66.39,45.11,85,48,2.84
Chokurdakh,RU,70.62,147.9,36.56,95,92,7.2
Helena,US,46.59,-112.04,53.06,44,1,10.29
Celestun,MX,20.87,-90.4,82.64,100,0,15.7
Goderich,CA,43.74,-81.71,54.65,81,0,11.9
Hohoe,GH,7.15,0.48,71.3,100,76,1.95
Khatanga,RU,71.98,102.47,44.12,98,68,4.07
Iqaluit,CA,63.75,-68.52,32.0,100,75,21.92
Bandarbeyla,SO,9.49,50.81,77.24,98,20,18.16
Ostrovnoy,RU,68.05,39.51,42.95,93,0,14.58
Ampanihy,MG,-24.69,44.75,56.54,83,0,3.96
Bathsheba,BB,13.22,-59.52,80.6,78,20,13.87
Tommot,RU,58.97,126.27,45.47,80,44,4.18
Kruisfontein,ZA,-34.0,24.73,50.96,100,0,5.75
Lebu,ET,8.96,38.73,51.8,66,20,6.93
Chicama,PE,-7.84,-79.15,62.6,88,90,10.29
Forecariah,GN,9.43,-13.09,69.32,97,44,2.84
Blyth,GB,55.12,-1.5,38.98,86,0,4.7
Norman Wells,CA,65.28,-126.83,44.6,99,75,6.93
Miri,NG,10.31,9.75,65.36,92,48,2.73
Ahipara,NZ,-35.17,173.16,58.43,85,92,17.83
Dingle,PH,11.0,122.67,83.18,92,20,4.18
Saint George,GR,39.45,22.34,60.8,63,0,4.7
Georgetown,GY,6.8,-58.16,77.0,100,0,4.7
Lulea,SE,65.58,22.15,44.6,99,64,16.11
Northam,GB,51.04,-4.21,41.61,100,0,4.7
Lompoc,US,34.64,-120.46,59.41,63,1,4.7
Castro,CL,-42.48,-73.76,44.57,88,76,6.42
Ajaccio,FR,41.93,8.74,72.68,82,75,6.93
Hailar,CN,49.2,119.7,52.85,70,0,6.08
Codrington,AU,-28.95,153.24,62.21,88,92,7.76
Shihezi,CN,44.3,86.03,60.41,69,48,5.75
Lumberton,US,30.27,-94.2,77.63,86,75,5.75
Shieli,KZ,44.18,66.74,53.48,66,0,2.84
Kargil,PK,34.56,76.13,27.38,95,12,1.72
Xining,CN,36.62,101.77,50.42,89,76,3.4
Dattapur,IN,20.77,78.17,73.82,100,64,4.63
Simi,US,38.64,-122.87,65.75,77,1,3.36
Cabo San Lucas,MX,22.89,-109.91,81.59,74,5,11.56
Shirokiy,RU,53.87,39.17,40.97,94,0,7.09
Qaqortoq,GL,60.72,-46.03,37.4,86,92,6.93
Honiara,SB,-9.43,159.96,86.0,74,75,13.87
Westport,IE,53.8,-9.52,43.76,100,64,5.3
Watertown,US,44.9,-97.12,63.28,70,1,10.29
Manta,RO,45.1,24.1,51.5,86,0,2.51
Ouesso,CG,1.61,16.05,72.83,96,76,2.17
Sinegorye,RU,62.09,150.53,36.29,64,76,2.73
Seymchan,RU,62.93,152.39,39.17,75,24,3.74
Darhan,MN,49.49,105.92,57.26,46,12,4.18
Turukhansk,RU,65.8,87.96,46.28,100,92,11.01
Mayor Pablo Lagerenza,PY,-19.93,-60.77,85.07,52,0,11.79
Novyy Urengoy,RU,66.08,76.63,50.69,100,88,9.44
Kenai,US,60.55,-151.26,54.97,66,1,14.99
Sur,OM,22.57,59.53,84.35,85,12,8.21
Matamoros,US,25.87,-97.51,78.35,81,1,3.36
Cassilandia,BR,-19.11,-51.73,78.68,35,0,8.1
Kavieng,PG,-2.57,150.8,83.63,100,80,3.4
Matay,EG,28.42,30.79,69.32,80,0,11.45
Kununurra,AU,-15.77,128.74,96.8,8,0,10.29
Latung,ID,-8.45,120.42,84.17,69,0,3.85
Anadyr,RU,64.73,177.51,46.4,75,75,2.24
Portland,US,45.52,-122.67,59.88,51,20,12.75
Bredasdorp,ZA,-34.53,20.04,41.0,93,0,2.24
Oroville,US,39.51,-121.56,77.67,34,1,4.7
Astoria,US,46.19,-123.83,55.04,86,20,4.7
Mecca,SA,21.43,39.83,66.08,84,0,1.61
Altea,ES,38.6,-0.05,71.6,68,0,5.82
Haines Junction,CA,60.75,-137.51,42.95,58,0,2.73
Ilulissat,GL,69.22,-51.1,41.0,38,64,17.22
Ferzikovo,RU,54.52,36.76,42.95,95,12,8.21
Kodiak,US,39.95,-94.76,60.08,80,1,8.99
Mantenopolis,BR,-18.86,-41.12,67.7,82,0,8.43
Qasigiannguit,GL,68.82,-51.19,41.0,38,64,17.22
Naze,NG,5.43,7.07,75.2,94,40,3.4
Black River,JM,18.03,-77.85,82.4,74,20,5.82
Padang,ID,-0.92,100.36,79.67,100,68,8.21
Vanimo,PG,-2.67,141.3,80.3,100,32,3.62
Riyadh,SA,24.63,46.72,78.8,24,0,3.29
Tomaszow Lubelski,PL,50.45,23.42,58.25,95,92,32.59
Esil,KZ,51.96,66.41,43.67,84,0,3.18
Timmins,CA,48.48,-81.33,30.2,80,5,4.7
Ous,RU,60.91,61.52,52.4,97,0,2.95
Araria,IN,26.13,87.47,76.97,100,92,3.06
Kalengwa,ZM,-13.47,25.0,71.03,34,44,12.46
Yelets,RU,52.61,38.49,38.45,89,0,2.95
Garowe,SO,8.41,48.48,58.88,70,0,2.73
Hutchinson,US,38.06,-97.93,65.21,86,1,5.82
Obo,CF,5.39,26.49,65.54,96,24,3.06
Pathein,MM,16.78,94.73,85.52,93,20,3.74
Itarema,BR,-2.92,-39.92,75.17,88,0,12.24
Surt,LY,31.21,16.59,73.19,100,0,6.42
Lavrentiya,RU,65.58,-170.99,44.66,92,8,18.84
Kamenka,RU,53.19,44.05,47.9,95,24,10.22
Kochki,RU,54.33,80.49,49.52,97,64,8.21
Severobaykalsk,RU,55.65,109.32,47.9,54,0,2.39
Keti Bandar,PK,24.14,67.45,80.93,97,0,15.93
Avarua,CK,-21.21,-159.78,77.0,65,20,12.75
Smithers,CA,54.78,-127.17,51.8,66,75,3.36
Lasa,CY,34.92,32.53,70.2,55,0,3.36
Saint-Joseph,FR,43.56,6.97,72.45,94,0,2.24
Ulladulla,AU,-35.36,150.48,57.2,62,75,16.11
Takapau,NZ,-40.02,176.35,54.2,86,88,8.77
Shelburne,CA,44.08,-80.2,50.88,93,1,7.76
Sarkand,KZ,45.41,79.91,53.75,99,92,5.53
Arica,CL,-18.48,-70.32,59.61,67,90,3.36
Zhezkazgan,KZ,47.8,67.71,41.0,93,0,8.95
Arraial do Cabo,BR,-22.97,-42.02,71.3,95,0,20.29
Kuytun,RU,54.34,101.51,51.95,70,64,3.4
Mana,RS,43.52,20.24,58.42,100,0,1.12
Guerrero Negro,MX,27.97,-114.04,71.48,90,36,10.45
Ishinomaki,JP,38.42,141.3,77.0,69,75,6.93
Puerto Madero,AR,-34.61,-58.36,63.75,48,0,8.05
Monmouth,GB,51.81,-2.72,42.58,93,0,5.82
Gweta,BW,-20.21,25.26,57.53,44,0,7.76
Ocland,RO,46.16,25.43,47.36,83,32,2.62
Sembakung,ID,3.82,117.25,83.18,80,56,2.73
Namibe,AO,-15.19,12.15,65.45,100,0,3.29
Lithgow,AU,-33.48,150.16,59.0,62,90,6.93
Upata,VE,8.02,-62.41,71.12,92,56,4.18
Terme,TR,41.21,36.97,55.4,93,20,3.36
Comodoro Rivadavia,AR,-45.87,-67.48,46.4,87,40,1.12
Imeni Poliny Osipenko,RU,52.42,136.49,54.83,71,32,3.96
Douglas,US,31.34,-109.55,77.0,44,1,1.72
Agropoli,IT,40.35,15.0,69.95,100,0,2.84
Fuerte Olimpo,BR,-21.04,-57.87,80.75,67,0,5.19
Altoona,US,40.52,-78.39,57.33,86,90,4.7
Puyang,CN,35.76,115.02,74.18,53,0,6.98
Powell River,CA,49.84,-124.52,54.75,81,20,2.24
Hofn,IS,64.25,-15.21,41.6,100,32,11.79
Morondava,MG,-20.3,44.28,67.97,100,0,1.83
Calama,CL,-22.46,-68.93,51.8,20,0,4.7
Breyten,ZA,-26.3,29.99,45.74,86,0,3.18
New Norfolk,AU,-42.78,147.06,51.8,40,75,3.36
Cayenne,GF,4.94,-52.33,75.2,100,0,2.24
Bethel,US,60.79,-161.76,48.02,100,90,19.46
Grindavik,IS,63.84,-22.43,44.6,100,75,17.22
Busselton,AU,-33.64,115.35,63.65,94,68,10.33
Dunedin,NZ,-45.87,170.5,37.1,100,92,5.75
Los Llanos de Aridane,ES,28.66,-17.92,71.6,83,8,11.41
Kapaa,US,22.08,-159.32,83.08,96,90,11.41
Kikwit,CD,-5.04,18.82,69.59,97,80,5.86
Vaini,IN,15.34,74.49,72.11,91,80,1.95
Lodja,CD,-3.52,23.6,71.57,94,0,3.96
Aripuana,BR,-9.17,-60.63,77.42,89,8,1.83
Ust-Nera,RU,64.57,143.24,28.82,73,0,2.73
Beringovskiy,RU,63.05,179.32,45.38,96,76,10.67
Priekule,LV,56.45,21.6,47.37,100,68,2.39
Port Elizabeth,US,39.31,-74.98,63.34,96,90,8.05
Sao Joao da Barra,BR,-21.64,-41.05,73.82,99,12,19.62
Sitka,US,37.17,-99.65,67.25,74,0,11.45
Nome,US,30.04,-94.42,75.83,86,75,5.75
Kahului,US,20.89,-156.47,83.82,61,40,13.87
Sobolevo,RU,54.43,31.9,47.36,97,92,12.68
Champerico,MX,16.38,-93.6,75.2,88,90,1.83
Saint-Francois,FR,46.42,3.91,50.0,81,0,5.82
Lagoa,PT,37.14,-8.45,75.2,41,0,8.05
Eyl,SO,7.98,49.82,75.53,88,0,18.95
Waitati,NZ,-45.75,170.57,37.1,100,92,5.75
Port Hardy,CA,50.7,-127.42,53.6,93,90,2.24
Carnarvon,ZA,-30.97,22.13,38.81,37,24,4.97
Palenque,MX,17.51,-91.98,71.84,93,80,2.17
Purwodadi,ID,-7.08,110.92,89.84,48,0,2.17
Kastamonu,TR,41.38,33.78,39.08,79,0,3.06
Coihaique,CL,-45.58,-72.07,39.96,80,75,4.7
Ponta do Sol,BR,-20.63,-46.0,65.72,65,24,4.18
Kroya,ID,-6.5,108.06,89.66,44,8,3.06
Hay River,CA,60.82,-115.79,42.8,60,75,5.19
Ixtapa,MX,20.71,-105.21,86.0,84,75,4.7
Brae,GB,60.4,-1.35,42.01,56,48,6.93
Port Alfred,ZA,-33.59,26.89,57.98,100,0,3.62
Hamilton,BM,32.3,-64.78,77.0,61,40,9.17
Potenza,IT,40.64,15.8,55.37,86,0,4.74
Mbaiki,CF,3.87,17.99,71.12,98,88,2.51
Muros,ES,42.77,-9.06,62.6,93,20,8.05
Alofi,NU,-19.06,-169.92,84.2,66,32,6.93
Komsomolskiy,RU,67.55,63.78,56.36,97,92,12.01
Lata,IN,30.78,78.62,52.58,100,92,1.95
Santa Rosalia,IT,38.07,13.27,72.21,78,0,13.87
Brokopondo,SR,5.06,-54.98,75.2,94,40,7.43
Vredendal,ZA,-31.68,18.49,38.72,84,8,2.51
Pala,IN,9.71,76.68,80.6,83,75,1.72
Dondo,MZ,-19.62,34.74,68.0,100,20,3.36
Faanui,PF,-16.48,-151.75,78.77,100,0,21.3
Kimbe,PG,-5.56,150.15,82.55,99,56,6.64
Edea,CM,3.8,10.13,75.2,100,75,2.24
Barra do Corda,BR,-5.5,-45.25,81.11,63,0,8.88
Valparaiso,US,41.47,-87.06,59.94,77,5,8.05
Hanna,CA,51.64,-111.93,28.46,78,56,3.4
Coria,ES,39.98,-6.54,58.61,74,0,2.39
Turayf,SA,31.68,38.65,69.8,30,0,6.93
College,US,64.86,-147.8,50.09,92,75,5.82
Moyale,ET,3.52,39.05,67.52,77,88,8.32
Ushuaia,AR,-54.81,-68.31,33.8,100,75,16.11
Whitehorse,CA,60.72,-135.06,50.0,57,75,5.82
Bambous Virieux,MU,-20.34,57.76,73.4,73,75,14.99
Timbuktu,ML,16.77,-3.01,78.23,67,20,3.06
Luwuk,ID,-0.95,122.79,82.55,80,32,8.21
Hilo,US,19.71,-155.08,82.04,67,90,10.29
Touros,BR,-5.2,-35.46,76.88,85,92,12.68
San Miguel,AR,-34.54,-58.72,63.73,45,0,9.17
Qaanaaq,GL,77.48,-69.36,14.69,100,0,8.1
Pitimbu,BR,-7.47,-34.81,73.4,94,75,5.82
Saint Anthony,US,43.97,-111.68,57.69,38,1,12.75
Robertsport,LR,6.75,-11.37,75.08,100,76,0.49
Chapais,CA,49.78,-74.86,30.2,74,1,4.52
Ust-Tsilma,RU,65.44,52.15,58.34,84,92,9.22
Maceio,BR,-9.67,-35.74,71.6,94,75,3.36
Lomovka,RU,53.92,58.37,46.4,93,20,6.71
Mount Gambier,AU,-37.83,140.78,54.83,71,56,4.07
Klaksvik,FO,62.23,-6.59,44.6,81,48,12.75
Pskov,RU,57.82,28.33,41.0,93,44,4.47
Mahebourg,MU,-20.41,57.7,73.4,73,75,14.99
Pisco,PE,-13.71,-76.2,60.8,87,0,13.87
Laguna,MX,27.52,-110.01,84.2,74,5,3.36
Halmstad,SE,56.67,12.86,41.83,81,92,3.36
Tuyen Quang,VN,21.82,105.22,82.19,87,8,3.96
Ginir,ET,7.14,40.71,51.32,79,0,2.73
Xuddur,SO,4.12,43.89,70.22,87,32,11.23
Buala,SB,-8.15,159.59,83.54,87,68,3.96
Sola,NO,58.89,5.65,45.61,81,75,4.7
Kijang,KR,35.24,129.21,71.6,53,0,9.17
Finspang,SE,58.71,15.77,42.42,70,0,5.82
Sorland,NO,67.67,12.69,41.0,80,75,29.97
Miasskoye,RU,55.28,61.89,39.2,100,0,8.77
Solnechnyy,RU,50.72,136.64,57.17,68,12,2.95
Sept-Iles,CA,50.2,-66.38,30.2,63,5,8.05
Nokaneng,BW,-19.66,22.19,61.04,30,0,7.31
Bure,NG,10.52,10.33,69.23,92,0,2.62
Souillac,FR,45.6,-0.6,50.81,71,0,9.17
Dudinka,RU,69.41,86.18,44.66,100,88,9.89
Kidal,ML,18.44,1.41,75.35,47,0,2.84
Luderitz,NA,-26.65,15.16,54.2,88,8,10.89
Drumheller,CA,51.47,-112.7,32.33,96,48,4.18
Kamiiso,JP,41.82,140.65,73.4,64,75,3.36
Kalmunai,LK,7.42,81.82,78.95,96,64,3.62
Dikson,RU,73.51,80.55,39.53,97,92,4.41
Alta Floresta,BR,-9.87,-56.08,79.22,76,32,1.61
Vardo,US,39.62,-77.74,58.1,89,90,2.84
Marienburg,DE,52.12,9.98,45.93,87,75,10.29
Galle,US,29.74,-97.91,74.07,87,90,3.96
Severo-Kurilsk,RU,50.68,156.12,52.94,84,44,4.52
Mataura,NZ,-46.19,168.86,44.57,97,92,8.21
Kindu,CD,-2.95,25.92,73.01,93,0,3.29
Nikolskoye,RU,59.7,30.79,46.4,93,90,4.47
Lahat,ID,-3.78,103.55,85.16,84,0,7.2
Wanning,AT,48.64,13.53,50.0,81,40,19.46
Shimoda,JP,34.7,138.93,78.8,78,75,9.17
Rio Gallegos,AR,-51.62,-69.22,32.0,100,0,8.05
Maragogi,BR,-9.01,-35.22,74.54,95,100,7.2
Ballina,IE,54.11,-9.15,39.35,100,56,3.96
Havoysund,NO,71.0,24.66,46.4,70,75,25.28
Baiyin,CN,36.55,104.13,60.8,77,75,2.24
Beyneu,KZ,45.32,55.19,49.7,73,12,5.86
Port-Gentil,GA,-0.72,8.78,77.42,97,92,6.08
Saldanha,PT,41.42,-6.55,56.27,86,0,7.31
Durban,FR,43.54,0.58,63.79,100,90,9.17
Dubai,AE,25.27,55.3,88.66,27,0,6.93
Cairns,AU,-16.92,145.77,77.0,65,75,16.11
Luwingu,ZM,-10.26,29.92,63.02,50,0,8.32
Wukari,NG,7.87,9.78,69.32,96,32,2.95
Nanortalik,GL,60.14,-45.24,38.45,96,92,26.11
Nemuro,JP,43.32,145.57,68.0,72,75,11.41
Kutum,SD,14.2,24.66,67.43,68,0,4.97
Isangel,VU,-19.55,169.27,72.56,100,44,12.24
Muhos,FI,64.81,26.0,46.4,65,92,8.05
Biak,ID,-0.91,122.88,82.55,80,32,8.21
Requena,ES,39.49,-1.1,73.4,83,0,3.36
Cordoba,CO,5.59,-73.79,47.36,73,8,1.83
